year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2023,25,"KN/KPP/2023/25/573 | Karnataka | Koppal | Cholera | 27 | 00 | 21-06-2023 | 24-06-2023 | Under
Control | Cases reported f",lepto_cholera,2023,25th 2023.pdf,14
2023,25,"KN/CKM/2023/25/575 | Karnataka | Chikkamagaluru | Dengue | 14 | 00 | 13-06-23 | 17-06-23 | Under
Surveillance | Cases re",dengue_malaria,2023,25th 2023.pdf,15
2023,25,"KN/BEL/2023/25/577 | Karnataka | Ballari | Typhoid
Fever | 41 | 00 | 19-06-23 | 19-06-23 | Under
Surveillance | Cases re",lepto_cholera,7,25th 2023.pdf,16
2023,25,"KN/SHI/2023/25/578 | Karnataka | Shivamogga | Rabies | 01 | 01 | 22-06-23 | 22-06-23 | Under
Surveillance | Case reporte",other,2023,25th 2023.pdf,16
2024,25,"KN/KPP/2024/25/1271 | Karnataka | Koppal | Acute
Diarrheal
Disease | 43 | 1 | 18-06-2024 | Under
Surveillance | Cases we",lepto_cholera,2024,25th 2024.pdf,9
2024,25,"collected and sent to BMCRI, Bangalore and | 25th 2024.pdf | 10",other,2024,25th 2024.pdf,10
2024,25,"KN/MNY/2024/25/1273 | Karnataka | Mandya | Acute
Diarrheal
Disease | 19 | 0 | 20-06-2024 | 20-06-2024 | Under
Control | ",lepto_cholera,2024,25th 2024.pdf,10
2024,25,"KN/MNY/2024/25/1274 | Karnataka | Mandya | Acute
Diarrheal
Disease | 13 | 0 | 16-06-2024 | 17-06-2024 | Under
Control | ",lepto_cholera,2024,25th 2024.pdf,10
2024,25,"KN/TUM/2024/25/1276 | Karnataka | Tumakuru | Human
Rabies | 1 | 1 | 18-06-2024 | 18-06-2024 | Under
Control | Case was r",other,2024,25th 2024.pdf,11
2024,25,"KN/KRW/2024/25/1277 | Karnataka | Uttar Kannad | Acute
Diarrheal
Disease | 13 | 0 | 19-06-2024 | 20-06-2024 | Under
Surv",lepto_cholera,2024,25th 2024.pdf,11
2023,26,"KN/BEL/2023/26/630 | Karnataka | Ballari | Acute
Diarrheal
Disease | 43 | 00 | 29-06-2023 | Under
Surveillance | Cases r",lepto_cholera,2023,26th 2023.pdf,10
2023,26,"KN/DVA/2023/26/631 | Karnataka | Davangere | Acute
Diarrheal
Disease | 88 | 00 | 28-06-2023 | Under
Control | Cases repo",lepto_cholera,2023,26th 2023.pdf,10
2023,26,"KN/KPP/2023/26/633 | Karnataka | Koppal | Acute
Diarrheal
Disease | 34 | 00 | 26-06-2023 | Under
Control | Cases reporte",lepto_cholera,2023,26th 2023.pdf,11
2023,26,"KN/RCR/2023/26/634 | Karnataka | Raichur | Acute
Diarrheal
Disease | 88 | 00 | 02-07-2023 | Under
Control | Cases report",lepto_cholera,2023,26th 2023.pdf,11
2023,26,"KN/UDU/2023/26/635 | Karnataka | Udupi | Acute
Diarrheal
Disease | 11 | 00 | 27-06-2023 | Under
Control | Cases reported",lepto_cholera,2023,26th 2023.pdf,11
2023,26,"KN/YDI/2023/26/637 | Karnataka | Yadgir | Acute
Diarrheal
Disease | 55 | 00 | 30-06-2023 | Under
Control | Cases reporte",lepto_cholera,2023,26th 2023.pdf,12
2023,26,"KN/BAU/2023/26/638 | Karnataka | BBMP | Acute
Diarrheal
Disease | 65 | 00 | 28-06-23 | Under
Surveillance | Cases report",lepto_cholera,5,26th 2023.pdf,12
2024,26,"KN/BEL/2024/26/1319 | Karnataka | Ballari | Acute
Diarrheal
Disease | 15 | 0 | 24-06-2024 | 25-06-2024 | Under
Surveilla",lepto_cholera,2024,26th 2024.pdf,7
2024,26,"KN/BEG/2024/26/1320 | Karnataka | Belagavi | Cholera | 10 | 0 | 24-06-2024 | 24-06-2024 | Under
Control | Cases reported",lepto_cholera,2024,26th 2024.pdf,7
2024,26,"KN/KOL/2024/26/1322 | Karnataka | Kolar | Cholera | 30 | 0 | 24-06-2024 | 24-06-2024 | Under
Control | Cases reported fr",lepto_cholera,2024,26th 2024.pdf,8
2024,26,RL Bengaluru Medical College and Research | 26th 2024.pdf | 8,other,2024,26th 2024.pdf,8
2024,26,"KN/RCR/2024/26/1323 | Karnataka | Raichur | Acute
Diarrheal
Disease | 13 | 0 | 27-06-2024 | 28-06-2024 | Under
Control |",lepto_cholera,2024,26th 2024.pdf,8
2024,26,"KN/UDU/2024/26/1325 | Karnataka | Udupi | Leptospirosis | 19 | 0 | 29-06-2024 | 30-06-2024 | Under
Control | Cases repor",lepto_cholera,2024,26th 2024.pdf,9
2024,26,"KN/VJP/2024/26/1326 | Karnataka | Vijayapura | Cholera | 47 | 0 | 18-06-2024 | 24-06-2024 | Under
Surveillance | Cases r",lepto_cholera,2024,26th 2024.pdf,9
