year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2023,41,"KN/BGK/2023/41/1416 | Karnataka | Bagalkot | Mumps | 28 | 0 | 10-10-23 | Under
Surveillance | Cases were reported from V",other,2023,41st 2023.pdf,6
2023,41,"KN/TUM/2023/41/1443 | Karnataka | Tumakuru | Dengue | 32 | 0 | 03-10-23 | Under
Surveillance | Cases were reported from ",dengue_malaria,2023,41st 2023.pdf,15
2024,41,"KN/CHK/2024/41/2506 | Karnataka | Chikballapur | Chikungunya | 45 | 0 | 26-09-2024 | Under
Surveillance | Cases were rep",dengue_malaria,2506,41st 2024.pdf,13
2023,42,"KN/CKM/2023/42/1462 | Karnataka | Chikkamagalu
ru | Fever | 17 | 0 | 15-10-23 | 17-10-23 | Under
Surveillance | Cases re",other,2023,42nd 2023.pdf,9
2023,42,"KN/RCR/2023/42/1464 | Karnataka | Raichur | Dengue | 27 | 0 | 18-10-23 | 19-10-23 | Under
Surveillance | Cases reported ",dengue_malaria,2023,42nd 2023.pdf,10
2023,43,"KN/MNY/2023/43/1522 | Karnataka | Mandya | Acute
Diarrheal
Disease | 22 | 0 | 25-10-23 | Under
Control | Cases reported ",lepto_cholera,2023,43rd 2023.pdf,7
2024,43,"KN/BAL/2024/43/2605 | Karnataka | Ballari | Measles | 11 | 0 | 22-10-2024 | Under
Surveillance | Cases were reported fro",respiratory,2605,43rd 2024.pdf,6
2024,43,"Bangalore, out of which 5 were positive for | 43rd 2024.pdf | 6",other,5,43rd 2024.pdf,6
2024,43,"KN/HAS/2024/43/2607 | Karnataka | Hassan | Acute
Diarrheal
Disease | 27 | 0 | 23-10-2024 | 24-10-2024 | Under
Surveillan",lepto_cholera,2607,43rd 2024.pdf,7
2024,43,"KN/TMK/2024/43/2608 | Karnataka | Tumakuru | Acute
Diarrheal
Disease | 22 | 0 | 23-10-2024 | 23-10-2024 | Under
Surveill",lepto_cholera,2608,43rd 2024.pdf,7
2024,43,"KN/VIJ/2024/43/2610 | Karnataka | Vijayanagar | Leptospirosis | 15 | 0 | 19-10-2024 | 24-10-2024 | Under
Surveillance | ",lepto_cholera,2610,43rd 2024.pdf,8
