epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0,0.5707547068595886,0.7671455144882202,0.742730438709259,0.5060241222381592,0.9032257795333862,0.4220183491706848,0.520703911781311,0.9279719591140747,0.4220183491706848,1.0,0.0010000000474974513
1,0.5707547068595886,0.889897882938385,0.6629586219787598,0.5054348111152649,1.0,0.4220183491706848,0.5312284231185913,1.869660496711731,0.4220183491706848,1.0,0.0010000000474974513
2,0.7735849022865295,0.898030161857605,0.5722284913063049,0.6666666865348816,0.9677419066429138,0.4220183491706848,0.5,2.8823883533477783,0.4220183491706848,1.0,0.0010000000474974513
3,0.8632075190544128,0.9412667751312256,0.46665552258491516,0.7711864113807678,0.9784946441650391,0.4220183491706848,0.5,3.1796233654022217,0.4220183491706848,1.0,0.0010000000474974513
4,0.6792452931404114,0.7275232672691345,0.8384871482849121,1.0,0.2688172161579132,0.4220183491706848,0.5491718053817749,2.3235793113708496,0.4220183491706848,1.0,0.0010000000474974513
5,0.7924528121948242,0.8151711821556091,0.5730537176132202,0.8024691343307495,0.698924720287323,0.4220183491706848,0.5797101259231567,2.2378227710723877,0.4220183491706848,1.0,0.0010000000474974513
6,0.7594339847564697,0.9352579712867737,0.5447162389755249,0.6458333134651184,1.0,0.4220183491706848,0.6273292303085327,2.2944984436035156,0.4220183491706848,1.0,0.0005000000237487257
7,0.8443396091461182,0.9717628955841064,0.4815596342086792,0.738095223903656,1.0,0.4220183491706848,0.579365074634552,2.531301498413086,0.4220183491706848,1.0,0.0005000000237487257
8,0.9150943160057068,0.9829221367835999,0.4179009795188904,0.837837815284729,1.0,0.4220183491706848,0.5,2.8969228267669678,0.4220183491706848,1.0,0.0005000000237487257
9,0.8867924809455872,0.9809342622756958,0.33127519488334656,0.7948718070983887,1.0,0.4220183491706848,0.5,3.2505369186401367,0.4220183491706848,1.0,0.0005000000237487257
10,0.9245283007621765,0.9725309014320374,0.28981849551200867,0.8666666746139526,0.9784946441650391,0.4220183491706848,0.5,3.38551926612854,0.4220183491706848,1.0,0.0005000000237487257
11,0.9339622855186462,0.9681485295295715,0.2564682364463806,0.907216489315033,0.9462365508079529,0.4220183491706848,0.5,3.2979161739349365,0.4220183491706848,1.0,0.0002500000118743628
12,0.948113203048706,0.9668835401535034,0.23189468681812286,0.9019607901573181,0.9892473220825195,0.4220183491706848,0.5,3.17960786819458,0.4220183491706848,1.0,0.0002500000118743628
13,0.9528301954269409,0.9703171849250793,0.21172453463077545,0.9029126167297363,1.0,0.4220183491706848,0.6866804361343384,3.0902013778686523,0.4220183491706848,1.0,0.0002500000118743628
14,0.948113203048706,0.9784042835235596,0.19295752048492432,0.9100000262260437,0.9784946441650391,0.4220183491706848,0.4841269850730896,2.972438097000122,0.4220183491706848,1.0,0.0002500000118743628
15,0.9575471878051758,0.9762356281280518,0.17608782649040222,0.9117646813392639,1.0,0.4220183491706848,0.5,2.8473739624023438,0.4220183491706848,1.0,0.0002500000118743628
16,0.9528301954269409,0.9631335735321045,0.19962438941001892,0.9029126167297363,1.0,0.4220183491706848,0.5,2.7807202339172363,0.4220183491706848,1.0,0.0001250000059371814
17,0.9528301954269409,0.9698201417922974,0.17827725410461426,0.9029126167297363,1.0,0.4220183491706848,0.5714285373687744,2.741797685623169,0.4220183491706848,1.0,0.0001250000059371814
18,0.9528301954269409,0.9701364040374756,0.19342203438282013,0.9191918969154358,0.9784946441650391,0.4220183491706848,0.3735334873199463,2.6690919399261475,0.4220183491706848,1.0,0.0001250000059371814
19,0.9528301954269409,0.9762808084487915,0.16252335906028748,0.9108911156654358,0.9892473220825195,0.4220183491706848,0.3333333134651184,2.628499984741211,0.4220183491706848,1.0,0.0001250000059371814
20,0.9528301954269409,0.9790367484092712,0.16636580228805542,0.9029126167297363,1.0,0.4220183491706848,0.3650793433189392,2.5975711345672607,0.4220183491706848,1.0,0.0001250000059371814
21,0.9528301954269409,0.9654377698898315,0.17951945960521698,0.9029126167297363,1.0,0.4220183491706848,0.4047619104385376,2.5750205516815186,0.4220183491706848,1.0,6.25000029685907e-05
22,0.9528301954269409,0.9793529510498047,0.1577911525964737,0.9029126167297363,1.0,0.4220183491706848,0.4285714328289032,2.571502447128296,0.4220183491706848,1.0,6.25000029685907e-05
23,0.9528301954269409,0.9730279445648193,0.16565963625907898,0.9108911156654358,0.9892473220825195,0.4220183491706848,0.4285714328289032,2.571193218231201,0.4220183491706848,1.0,6.25000029685907e-05
