epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5352,3.11941,5.99502,4.04789,2.28947,0.00532,0.01705,0.00283,0.00083,0,0,0,0,2.8976,5.85038,4.00842,2.0196,2.858e-05,2.858e-05,2.858e-05
2,25.8067,3.12249,5.95193,4.05305,2.3473,0.00534,0.01705,0.00283,0.00093,0,0,0,0,2.98097,5.73437,4.01093,2.07911,4.78715e-05,4.78715e-05,4.78715e-05
3,37.1237,3.36667,5.81049,4.10397,2.34362,0.00533,0.01705,0.00284,0.00095,0,0,0,0,3.03721,5.65692,4.01179,2.14903,3.88688e-05,3.88688e-05,3.88688e-05
